18:28:33.062829 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.067337 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.071441 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.075952 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.080055 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.084568 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.088673 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.093185 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.097288 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.101800 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.105906 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.110009 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.114521 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.118624 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.123137 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.127241 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.131753 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.135857 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.140369 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.144473 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.148985 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.153092 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.157601 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.161705 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.166216 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.170321 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.174834 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.178938 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.183040 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.187553 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.191657 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:33.196168 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
